ID,Timestamp,Age_Group,Gender,Region,Preferred_Tool,Satisfaction,Feedback
473,2024-01-22,45-60,Female,East,Python,1,Excellent experience
474,2024-02-15,35-44,Male,North,Excel,4,Very useful tool
475,2024-01-18,18-24,Female,Central,Excel,3,Needs improvement
476,2024-03-12,25-34,Other,West,Python,1,Loved it
477,2024-03-21,18-24,Other,South,Python,3,Too complex
478,2024-03-10,25-34,Other,East,SQL,3,Very useful tool
479,2024-02-20,45-60,Female,East,Python,5,Very useful tool
480,2024-04-04,25-34,Female,North,Excel,2,Excellent experience
481,2024-03-24,25-34,Other,Central,Excel,2,Too complex
482,2024-01-14,35-44,Female,West,Excel,4,Very useful tool
483,2024-03-07,35-44,Male,North,Power BI,3,Very useful tool
484,2024-01-16,35-44,Other,North,SQL,2,Highly recommended
485,2024-03-27,45-60,Other,South,Power BI,2,Excellent experience
486,2024-04-09,45-60,Male,Central,R,4,Highly recommended
487,2024-03-15,18-24,Female,East,Excel,4,Could be better
488,2024-01-12,18-24,Female,West,Python,4,Could be better
489,2024-04-26,18-24,Other,Central,Power BI,5,Loved it
490,2024-03-30,45-60,Other,West,SQL,4,Average
491,2024-03-16,35-44,Female,South,SQL,5,Very useful tool
492,2024-02-14,18-24,Male,East,R,4,Needs improvement
493,2024-04-24,45-60,Other,North,Python,5,Too complex
494,2024-02-25,25-34,Female,East,Python,1,Excellent experience
495,2024-04-09,18-24,Male,West,SQL,4,Could be better
496,2024-02-11,35-44,Male,South,R,4,Excellent experience
497,2024-03-17,25-34,Male,Central,R,3,Too complex
498,2024-03-11,25-34,Female,North,Power BI,5,Could be better
499,2024-03-30,25-34,Other,South,Python,4,Excellent experience
500,2024-04-29,45-60,Other,Central,Excel,5,Needs improvement
